,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot
0,2016,200,1455,70,1435,50,N,0
1,2016,200,1195,96,1192,65,N,0
2,2016,200,1276,67,1409,62,N,0
3,2016,200,1221,59,1380,55,N,0
4,2016,200,1242,105,1122,79,N,0
5,2016,200,1163,74,1160,67,N,0
6,2016,200,1268,79,1355,74,N,0
7,2016,200,1218,77,1143,66,N,0
8,2016,200,1455,65,1112,55,N,0
9,2016,200,1274,79,1138,72,N,0
10,2016,200,1234,72,1396,70,N,0
11,2016,200,1437,86,1421,56,N,0
12,2016,200,1332,91,1221,52,N,0
13,2016,200,1386,78,1153,76,N,0
14,2016,200,1463,79,1124,75,N,0
15,2016,200,1181,93,1423,85,N,0
16,2016,200,1320,75,1400,72,N,0
17,2016,200,1401,92,1453,65,N,0
18,2016,200,1433,75,1333,67,N,0
19,2016,200,1328,82,1167,68,N,0
20,2016,200,1314,83,1195,67,N,0
21,2016,200,1344,70,1425,69,N,0
22,2016,200,1231,99,1151,74,N,0
23,2016,200,1246,85,1392,57,N,0
24,2016,200,1323,70,1276,63,N,0
25,2016,200,1372,70,1452,56,N,0
26,2016,200,1458,47,1338,10,N,0
27,2016,200,1462,71,1451,53,N,0
28,2016,200,1438,81,1214,45,N,0
29,2016,200,1139,71,1403,61,N,0
30,2016,200,1114,85,1345,83,N,0
31,2016,200,1235,94,1233,81,N,0
32,2016,200,1211,68,1371,52,N,0
33,2016,200,1428,80,1201,69,N,0
34,2016,200,1393,70,1173,51,N,0
35,2016,200,1292,90,1277,81,N,0
36,2016,200,1332,69,1386,64,N,0
37,2016,200,1181,71,1463,64,N,0
38,2016,200,1401,92,1320,88,N,0
39,2016,200,1328,85,1433,81,N,0
40,2016,200,1438,77,1139,69,N,0
41,2016,200,1235,78,1114,61,N,0
42,2016,200,1211,82,1428,59,N,0
43,2016,200,1393,75,1292,50,N,0
44,2016,200,1242,73,1163,61,N,0
45,2016,200,1268,73,1218,60,N,0
46,2016,200,1274,65,1455,57,N,0
47,2016,200,1437,87,1234,68,N,0
48,2016,200,1314,85,1344,66,N,0
49,2016,200,1231,73,1246,67,N,0
50,2016,200,1323,76,1372,75,N,0
51,2016,200,1458,66,1462,63,N,0
52,2016,200,1242,79,1268,63,N,0
53,2016,200,1437,92,1274,69,N,0
54,2016,200,1314,101,1231,86,N,0
55,2016,200,1323,61,1458,56,N,0
56,2016,200,1332,82,1181,68,N,0
57,2016,200,1328,77,1401,63,N,0
58,2016,200,1393,63,1211,60,N,0
59,2016,200,1438,84,1235,71,N,0
60,2016,200,1328,80,1332,68,N,0
61,2016,200,1393,68,1438,62,N,0
62,2016,200,1437,64,1242,59,N,0
63,2016,200,1314,88,1323,74,N,0
64,2016,200,1437,95,1328,51,N,0
65,2016,200,1314,83,1393,66,N,0
66,2016,200,1437,77,1314,74,N,0
